elexonBmUnit,nationalGridBmUnit,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,demandCapacity,gspGroupId,gspGroupName,interconnectorId
E_ABERDARE,ABERU-1,Aberdare Power Station,,E,UK Power Reserve Limited,15.400,0.000,_K,South Wales,
T_ABRBO-1,ABRBO-1,ABRBO-1,WIND,T,Aberdeen Offshore Wind Farm,99.000,-2.000,,,
E_ABRTW-1,ABRTW-1,Auchrobert Wind Farm,WIND,E,Npower Commercial Gas Limited,36.000,-10.000,_N,South Scotland,
C__PSMAR001,ACHLW-1,C__PSMAR001-AAA-ACH-183,WIND,S,Smartestenergy Limited,11.282,0.000,_P,North Scotland,
T_ACHRW-1,ACHRW-1,AChruach Wind Farm,WIND,T,Mobius Renewables Gen. (GB2,42.600,-2.000,,,
,ACHYW-1,,WIND,,,,,,,
T_AFTOW-1,AFTOW-1,Afton Wind Farm,WIND,T,Afton Wind Farm Limited,50.000,-2.000,,,
V__BADEL001,AG-ADL00B,ADELA_SBMU_B,,V,Adela Energy Ltd,0.000,0.000,_B,East Midlands,
V__MADEL001,AG-ADL01M,ADELA_SBMU_M,,V,Adela Energy Ltd,0.000,0.000,_M,Yorkshire,
V__GADEL001,AG-ADL02G,ADELA_SBMU_G,,V,Adela Energy Ltd,0.000,0.000,_G,North Western,
V__EADEL001,AG-ADL03E,ADELA_SBMU_E,,V,Adela Energy Ltd,0.000,0.000,_E,Midlands,
V__JADEL001,AG-ADL04H,ADELA_SBMU_J,,V,Adela Energy Ltd,0.000,0.000,_J,South Eastern,
V__HADEL002,AG-ADL05H,V__HADEL002,,V,Adela Energy Ltd,0.000,0.000,_H,Southern,
2__AECOT003,AG-AECO01,ECOT_VPP_10,,S,ECOTRICITY LIMITED,0.000,0.000,_A,Eastern,
2__ALOND001,AG-AEDF01,EDFE Aggregate Eastern 01,,S,EDF Energy Customers Limited,0.000,0.000,_A,Eastern,
2__ALOND002,AG-AEDF02,EDFE Aggregate Eastern 02,,S,EDF Energy Customers Limited,0.000,0.000,_A,Eastern GSP Group,
2__ALOND003,AG-AEDF03,EDFE Aggregate East Eng 3,,S,EDF Energy Customers Limited,0.000,0.000,_A,Eastern,
2__ALOND004,AG-AEDF04,EDFE Aggregate East Eng 4,,S,EDF Energy Customers Limited,0.000,0.000,_A,Eastern,
2__AFLEX001,AG-AFLX01,2__AFLEX001,,S,Flexitricity Limited,49.000,0.000,_A,Eastern GSP Group,
2__AFLEX002,AG-AFLX02,2__AFLEX002,,S,Flexitricity Limited,49.000,0.000,_A,Eastern GSP Group,
2__AFLEX003,AG-AFLX03,2__AFLEX003,,S,Flexitricity Limited,49.000,0.000,_A,Eastern,
2__AFLEX004,AG-AFLX04,2__AFLEX004,,S,Flexitricity Limited,49.000,0.000,_A,Eastern,
2__AFLEX005,AG-AFLX05,2__AFLEX005,,S,Flexitricity Limited,49.000,0.000,_A,Eastern,
2__APOWQ001,AG-AHAR01,2__APOWQ001,,S,Hartree Partners Supply UK,7.500,-4.200,_A,Eastern,
2__ALIME000,AG-ALIM01,2__ALIME000,,G,Limejump Energy Limited,40.000,0.000,_A,Eastern GSP Group,
2__AANGE001,AG-ALIM02,2__AANGE001,,S,Limejump Energy Limited,80.000,-1.000,_A,Eastern,
2__AANGE002,AG-ALIM03,2__AANGE002,,S,Limejump Energy Limited,50.000,0.000,_A,Eastern GSP Group,
2__AANGE003,AG-ALIM04,2__AANGE003,,S,Limejump Energy Limited,0.000,0.000,_A,Eastern,
2__AMRCY001,AG-AOCT01,2__AMRCY001,,S,Octopus Energy Limited,15.960,-7.980,_A,Eastern,
2__ASTAT001,AG-ASTK01,STAT_A2,,S,Statkraft Markets Gmbh,20.000,0.000,_A,Eastern,
2__ASTAT002,AG-ASTK02,STAT_A3,,S,Statkraft Markets Gmbh,20.000,0.000,_A,Eastern,
2__ASTAT003,AG-ASTK03,STAT_A4,OTHER,S,Statkraft Markets Gmbh,42.000,-4.000,_A,Eastern,
2__ASTAT004,AG-ASTK04,STAT_A5,,S,Statkraft Markets Gmbh,5.000,-5.000,_A,Eastern,
2__ASTAT005,AG-ASTK05,STAT_A6,,S,Statkraft Markets Gmbh,50.000,-52.000,_A,Eastern,
2__ASTAT006,AG-ASTK06,STAT_A7,,S,Statkraft Markets Gmbh,20.000,-2.000,_A,Eastern,
2__ASTAT007,AG-ASTK07,STAT_A8,,S,Statkraft Markets Gmbh,20.000,-2.000,_A,Eastern,
2__ASTAT008,AG-ASTK08,STAT_A9,,S,Statkraft Markets Gmbh,16.000,-16.000,_A,Eastern,
2__ASTAT009,AG-ASTK09,STAT_A10,,S,Statkraft Markets Gmbh,12.000,-12.000,_A,Eastern,
2__ASTAT099,AG-ASTK99,STAT_A99,,S,Statkraft Markets Gmbh,8.000,-6.000,_A,Eastern,
2__AUKPR001,AG-AUKP01,UKPR East,,S,UK Power Reserve Limited,20.000,-1.000,_A,Eastern,
2__AUKPR002,AG-AUKP02,2__AUKPR002,,S,UK Power Reserve Limited,20.000,-1.000,_A,Eastern,
2__AUKPR003,AG-AUKP03,2__AUKPR003,,S,UK Power Reserve Limited,20.000,-1.000,_A,Eastern,
V__KAXLE001,AG-AXL00K,V__KAXLE001,,V,Axle Energy Limited,0.000,0.000,_K,South Wales,
2__BLOND001,AG-BEDF01,EDFE Aggregate E Mids 01,,S,EDF Energy Customers Limited,0.000,0.000,_B,East Midlands,
2__BLOND002,AG-BEDF02,EDFE Aggregate E Mids 02,,S,EDF Energy Customers Limited,0.000,0.000,_B,East Midlands,
2__BLOND003,AG-BEDF03,EDFE Aggregate E Mids 03,WIND,S,EDF Energy Customers Limited,20.000,-2.000,_B,East Midlands,
2__BLOND004,AG-BEDF04,EDFE Aggregate E Mids 04,,S,EDF Energy Customers Limited,0.000,0.000,_B,East Midlands,
2__BEDGE001,AG-BEDG01,2__BEDGE001,,S,Edgware Energy Limited,54.785,0.000,_B,East Midlands,
2__BFLEX001,AG-BFLX01,2__BFLEX001,,S,Flexitricity Limited,49.000,0.000,_B,East Midlands,
2__BFLEX002,AG-BFLX02,2__BFLEX002,,S,Flexitricity Limited,49.000,0.000,_B,East Midlands,
2__BFLEX003,AG-BFLX03,2__BFLEX003,,S,Flexitricity Limited,49.000,0.000,_B,East Midlands,
2__BFLEX004,AG-BFLX04,2__BFLEX004,,S,Flexitricity Limited,49.000,0.000,_B,East Midlands,
2__BPOWQ001,AG-BHAR01,2__BPOWQ001,,S,Hartree Partners Supply UK,8.000,0.000,_B,East Midlands,
2__BLIME000,AG-BLIM01,2__BLIME000,,G,Limejump Energy Limited,50.000,0.000,_B,East Midlands,
2__BANGE001,AG-BLIM02,2__BANGE001,,S,Limejump Energy Limited,50.000,-18.000,_B,East Midlands,
2__BANGE002,AG-BLIM03,2__BANGE002,,S,Limejump Energy Limited,50.000,0.000,_B,East Midlands,
2__BANGE003,AG-BLIM04,2__BANGE003,,S,Limejump Energy Limited,2.080,-5.340,_B,East Midlands,
2__BMRCY001,AG-BOCT01,AG-BOCT01,,S,Octopus Energy Limited,0.000,-5.000,_B,East Midlands,
2__BSMAR002,AG-BSMA01,2__BSMAR002,,S,Smartestenergy Limited,50.000,-50.000,_B,East Midlands,
2__BSMAR003,AG-BSMA02,2__BSMAR003,,S,Smartestenergy Limited,50.000,-50.000,_B,East Midlands,
2__BSTAT001,AG-BSTK01,STAT_B2,,S,Statkraft Markets Gmbh,4.000,0.000,_B,East Midlands,
2__BSTAT002,AG-BSTK02,STAT_B3,,S,Statkraft Markets Gmbh,6.431,0.000,_B,East Midlands,
2__BSTAT003,AG-BSTK03,STAT_B4,,S,Statkraft Markets Gmbh,16.000,0.000,_B,East Midlands,
2__BSTAT004,AG-BSTK04,STAT_B5,,S,Statkraft Markets Gmbh,10.000,-2.000,_B,East Midlands,
2__BSTAT099,AG-BSTK99,STAT_B99,,S,Statkraft Markets Gmbh,8.000,-8.000,_B,East Midlands,
2__BUKPR001,AG-BUKP01,UKPR East Mids,,S,UK Power Reserve Limited,10.359,-10.000,_B,East Midlands,
2__BUKPR002,AG-BUKP02,2__BUKPR002,,S,UK Power Reserve Limited,20.000,-1.000,_B,East Midlands,
2__BUKPR003,AG-BUKP03,2__BUKPR003,,S,UK Power Reserve Limited,20.000,-1.000,_B,East Midlands,
V__LCEND001,AG-CBS02L,Wavehub,,V,Centrica Business Solutions UK,0.000,0.000,_L,South Western,
V__LCEND005,AG-CBS05L,V__LCEND005,,V,Centrica Business Solutions UK,0.000,0.000,_L,South Western,
V__BCEND004,AG-CBS06B,V__BCEND004,,V,Centrica Business Solutions UK,0.000,0.000,_B,East Midlands,
V__ECEND007,AG-CBS07B,V__ECEND007,,V,Centrica Business Solutions UK,0.000,0.000,_E,Midlands,
V__MCEND001,AG-CBS08M,Brigg Battery,,V,Centrica Business Solutions UK,0.000,0.000,_M,Yorkshire,
